YAL001C	   0.0276
YAL002W	   0.01219
YAL003W	   0.35975
YAL007C	   0.08639
YAL008W	   0.1505
YAL009W	   0.04768
YAL010C	   0.07369
YAL011W	   0.04132
YAL012W	   0.17811
YAL013W	   0.09351
YAL014C	   0.04573
YAL015C	   0.05698
YAL016W	   0.10234
YAL017W	   0.03363
YAL018C	   0.14403
YAL019W-A  0.04316
YAL020C	   0.08617
YAL021C	   0.07471
YAL022C	   0.09678
YAL023C	   0.14237
YAL024C	   0.03039
YAL025C	   0.12317
YAL027W	   0.11159
YAL028W	   0.04398
YAL029C	   0.01384
YAL030W	   0.13112
YAL031C	   0.05094
YAL032C	   0.09428
YAL033W	   0.10309
YAL034C-B  0.03212
YAL035W	   0.10053
YAL036C	   0.13427
YAL037W	   0.0803
YAL038W	   0.20519
YAL039C	   0.10381
YAL040C	   0.0297
YAL041W	   0.05337
YAL042W	   0.13636
YAL043C	   0.06012
YAL044C	   0.1569
YAL045C	   0.1086
YAL046C	   0.10535
YAL047C	   0.08163
YAL048C	   0.0533
YAL049C	   0.15317
YAL051W	   0.06754
YAL053W	   0.10329
YAL054C	   0.12707
YAL055W	   0.22202
YAL056W	   0.03795
YAL058W	   0.05722
YAL059W	   0.10411
YAL060W	   0.10207
YAL061W	   0.05476
YAL062W	   0.13655
YAL063C	   0.01641
YAL064W	   0.31783
YAL066W	   0.26238
YAL067C	   0.10906
YAL068C	   0.1881
YAL069W	   0.32107
YAR002W	   0.10757
YAR003W	   0.03961
YAR007C	   0.14635
YAR008W	   0.06478
YAR014C	   0.04287
YAR015W	   0.12809
YAR018C	   0.11828
YAR019C	   0.04247
YAR020C	   4.04692
YAR023C	   0.20542
YAR027W	   0.13227
YAR028W	   0.08668
YAR029W	   0.45364
YAR030C	   0.1931
YAR031W	   0.04048
YAR033W	   0.21255
YAR035W	   0.02977
YAR047C	   0.26947
YAR050W	   0.022
YAR053W	   0.32063
YAR060C	   0.16989
YAR064W	   0.17273
YAR068W	   0.13079
YAR070C	   0.25921
YAR071W	   0.1783
YAR073W	   0.16562
YAR075W	   0.88371
YBL001C	   0.29071
YBL002W	   0.26205
YBL003C	   0.19464
YBL004W	   0.02905
YBL005W	   0.06604
YBL006C	   0.14743
YBL007C	   0.05671
YBL008W	   0.04032
YBL009W	   0.04547
YBL010C	   0.10416
YBL011W	   0.06125
YBL012C	   0.26277
YBL013W	   0.07095
YBL014C	   0.01555
YBL015W	   0.14932
YBL016W	   0.08461
YBL017C	   0.00791
YBL018C	   0.25832
YBL019W	   0.06516
YBL020W	   0.11766
YBL021C	   0.15394
YBL022C	   0.07387
YBL023C	   0.07836
YBL024W	   0.11418
YBL025W	   0.14893
